domain,task_id,env,vf_baseline,best_peak_success_any_run,best_peak_step_any_run,best_peak_config,best_peak_seed,best_peak_eval_csv,best_final_success_any_completed_run,best_final_config,best_final_seed,best_final_eval_csv,best_peak_minus_vf,best_final_minus_vf,coverage_status,recommended_next_action,run_count,completed_run_count
cube-double-play,task1,cube-double-play-singletask-task1-v0,0.97,0.7,300000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,0.7,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task1_P0_particle_seed2/sd002_20260621_152745/eval.csv,-0.27,-0.27,has_300k,covered but below VF; lower priority unless domain coverage requires it,1,1
cube-double-play,task2,cube-double-play-singletask-task2-v0,0.76,1.0,750000,FullSafe,2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv,1.0,FullSafe,2,/root/sb-value-flows/exp/table3_pm_fullsafe_official_4090_highmem_ldfix/cube-double-play-singletask-task2-v0_pm_fullsafe_official_highmem/sd002_20260526_190350/eval.csv,0.24,0.24,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,14,14
cube-double-play,task3,cube-double-play-singletask-task3-v0,0.73,1.0,700000,A2_action_std_lam0p003,0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_cube_double_task3_A2_action_std_lam0p003_seed0/sd000_20260612_213228/eval.csv,0.9,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,0.27,0.17000000000000004,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,10,10
cube-double-play,task4,cube-double-play-singletask-task4-v0,0.3,0.7,800000,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.5,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.39999999999999997,0.2,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,10,10
cube-double-play,task5,cube-double-play-singletask-task5-v0,0.69,0.5,250000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task5_P0_particle_seed2/sd002_20260621_141124/eval.csv,0.5,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_cube_double_task5_P0_particle_seed2/sd002_20260621_141124/eval.csv,-0.18999999999999995,-0.18999999999999995,has_300k,covered but below VF; lower priority unless domain coverage requires it,1,1
cube-triple-play,task1,cube-triple-play-singletask-task1-v0,0.59,0.9,850000,ActorGeo,0,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,0.6,ActorGeo,0,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/cube-triple-play-singletask-task1-v0_pm_actorgeo_problem_envs_4090/sd000_20260527_194651/eval.csv,0.31000000000000005,0.010000000000000009,has_1m,collapse: consider state_stable_v1; keep best peak as best-eval diagnostic,6,6
cube-triple-play,task2,cube-triple-play-singletask-task2-v0,0.0,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,0.0,0.0,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,4,4
cube-triple-play,task3,cube-triple-play-singletask-task3-v0,0.07,0.2,300000,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,0.2,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,0.13,0.13,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,11,11
cube-triple-play,task4,cube-triple-play-singletask-task4-v0,0.0,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,0.0,0.0,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,4,4
cube-triple-play,task5,cube-triple-play-singletask-task5-v0,0.02,0.0,1,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,-0.02,-0.02,has_300k,covered but below VF; lower priority unless domain coverage requires it,4,4
puzzle-3x3-play,task1,puzzle-3x3-play-singletask-task1-v0,0.99,1.0,100000,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task1_S1_sb_lam0p001_seed2/sd002_20260606_142934/eval.csv,1.0,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task1_S1_sb_lam0p001_seed2/sd002_20260606_142934/eval.csv,0.010000000000000009,0.010000000000000009,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,1,1
puzzle-3x3-play,task2,puzzle-3x3-play-singletask-task2-v0,0.98,1.0,400000,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task2_S1_sb_lam0p001_seed2/sd002_20260606_182634/eval.csv,1.0,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task2_S1_sb_lam0p001_seed2/sd002_20260606_182634/eval.csv,0.020000000000000018,0.020000000000000018,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,1,1
puzzle-3x3-play,task3,puzzle-3x3-play-singletask-task3-v0,0.97,0.4,250000,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_P0_particle_seed2/sd002_20260608_100720/eval.csv,0.2,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_P0_particle_seed2/sd002_20260608_100720/eval.csv,-0.57,-0.77,has_1m,covered but below VF; lower priority unless domain coverage requires it,15,15
puzzle-3x3-play,task4,puzzle-3x3-play-singletask-task4-v0,0.84,1.0,1000000,ActorGeo,1,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/puzzle-3x3-play-singletask-task4-v0_pm_actorgeo_problem_envs_4090/sd001_20260528_121505/eval.csv,1.0,ActorGeo,1,/root/sb-value-flows/exp/table3_pm_actorgeo_problem_envs_4090/puzzle-3x3-play-singletask-task4-v0_pm_actorgeo_problem_envs_4090/sd001_20260528_121505/eval.csv,0.16000000000000003,0.16000000000000003,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,6,6
puzzle-3x3-play,task5,puzzle-3x3-play-singletask-task5-v0,0.58,1.0,1000000,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task5_S1_sb_lam0p001_seed2/sd002_20260607_063032/eval.csv,1.0,P0,5,/root/sb-value-flows/exp/puzzle3x3_bestseed_5task_single4090_v3/task5_S1_sb_lam0p001_seed2/sd002_20260607_063032/eval.csv,0.42000000000000004,0.42000000000000004,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,8,8
puzzle-4x4-play,task1,puzzle-4x4-play-singletask-task1-v0,0.36,0.7,300000,A2_action_std_lam0p003,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260618_031757/eval.csv,0.5,A2_action_std_lam0p003,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260615_212615/eval.csv,0.33999999999999997,0.14,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,9,9
puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,0.27,0.6,950000,MinimalSB_lam0p001,0,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed0/sd000_20260614_014306/eval.csv,0.5,MinimalSB_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed2/sd002_20260613_213740/eval.csv,0.32999999999999996,0.22999999999999998,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,10,10
puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,0.3,0.8,250000,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,0.5,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,0.5,0.2,has_1m,collapse: consider state_stable_v1; keep best peak as best-eval diagnostic,11,10
puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,0.28,0.6,350000,FullSafe,0,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd000_20260528_220734/eval.csv,0.5,R3_residual_disagree_typicality_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_061504/eval.csv,0.31999999999999995,0.21999999999999997,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,12,12
puzzle-4x4-play,task5,puzzle-4x4-play-singletask-task5-v0,0.13,0.2,250000,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task5_A2_action_std_lam0p003_seed2/sd002_20260613_173157/eval.csv,0.1,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task5_A2_action_std_lam0p003_seed2/sd002_20260610_101149/eval.csv,0.07,-0.03,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,8,8
scene-play,task1,scene-play-singletask-task1-v0,0.99,1.0,100000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task1_P0_particle_seed2/sd002_20260621_231247/eval.csv,1.0,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task1_P0_particle_seed2/sd002_20260621_231247/eval.csv,0.010000000000000009,0.010000000000000009,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,1,1
scene-play,task2,scene-play-singletask-task2-v0,0.97,1.0,200000,FullSafe,0,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/scene-play-singletask-task2-v0_pm_fullsafe_light_remaining_single4090/sd000_20260529_181552/eval.csv,1.0,FullSafe,0,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/scene-play-singletask-task2-v0_pm_fullsafe_light_remaining_single4090/sd000_20260529_181552/eval.csv,0.030000000000000027,0.030000000000000027,has_1m,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,3,3
scene-play,task3,scene-play-singletask-task3-v0,0.94,1.0,300000,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task3_P0_particle_seed2/sd002_20260622_003417/eval.csv,1.0,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task3_P0_particle_seed2/sd002_20260622_003417/eval.csv,0.06000000000000005,0.06000000000000005,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,1,1
scene-play,task4,scene-play-singletask-task4-v0,0.07,0.9,100000,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/eval.csv,0.4,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_P0_particle_seed2/sd002_20260608_184656/eval.csv,0.8300000000000001,0.33,has_1m,collapse: consider state_stable_v1; keep best peak as best-eval diagnostic,12,12
scene-play,task5,scene-play-singletask-task5-v0,0.0,0.0,1,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task5_P0_particle_seed2/sd002_20260621_214736/eval.csv,0.0,P0_particle,2,/root/autodl-tmp/sb-value-flows-runs/state_25task_goal_single4090/exp/state25_300k_coverage_scene_task5_P0_particle_seed2/sd002_20260621_214736/eval.csv,0.0,0.0,has_300k,best_peak reaches/exceeds VF; consider best-eval reporting or 1M confirmation,1,1
