run_id,server,machine_tag,root_path,eval_csv,train_csv,command_txt,domain,task_id,env,config_name,method_group,seed,target_steps,final_step,status,final_success,final_return,final_length,best_peak_success,best_peak_step,best_peak_return,best_peak_length,peak_after_500k_success,peak_after_500k_step,drop_final_from_peak,trajectory_short,has_train_csv,has_command_txt,has_checkpoint,notes,source_kind,source_file,vf_baseline,collapse,severe_collapse,recommended_fix
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__A2_action_std_lam0p003__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_A2_action_std_lam0p003_seed2/sd002_20260616_130825/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,A2_action_std_lam0p003,A2,2,300000,300000,completed_300k,0.3,-1807.3,441.8,0.7,250000,,,,,-0.39999999999999997,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__R2_residual_disagree_lam0p001__seed2__300000__sd002_20260620_163655,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.0,-800.4,750.0,0.6,100000,-725.8,512.9,,,-0.6,1:0 -> 100k:0.6 -> 200k:0.3 -> 300k:0,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_R2_residual_disagree_lam0p001_seed2/sd002_20260620_163655/eval.csv,0.07,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task2-v0__MinimalSB_lam0p001__seed1__1000000__sd001_20260614_055017,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/train.csv,,puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,MinimalSB_lam0p001,MinimalSB,1,1000000,1000000,completed_1m,0.1,-1551.6,481.1,0.6,900000,-1187.6,392.9,0.6,900000,-0.5,1:0 -> 100k:0.2 -> 200k:0 -> 300k:0.1 -> 400k:0 -> 500k:0.2 -> 600k:0 -> 700k:0 -> 800k:0.2 -> 900k:0.6 -> 1000k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed1/sd001_20260614_055017/eval.csv,0.27,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__P0_particle__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_P0_particle_seed2/sd002_20260616_011303/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,P0_particle,P0,2,300000,300000,completed_300k,0.2,-1786.5,456.9,0.6,200000,,,,,-0.39999999999999997,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__scene-play-singletask-task4-v0__P0_particle__seed2__300000__sd002_20260620_175503,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/eval.csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/train.csv,,scene-play,task4,scene-play-singletask-task4-v0,P0_particle,P0,2,300000,300000,completed_300k,0.2,-851.5,734.1,0.6,100000,-779.3,542.3,,,-0.39999999999999997,1:0 -> 100k:0.6 -> 200k:0.2 -> 300k:0.2,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_scene_task4_P0_particle_seed2/sd002_20260620_175503/eval.csv,0.07,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task4-v0__FullSafe__seed0__1000000__sd000_20260528_220734,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd000_20260528_220734/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd000_20260528_220734/train.csv,,puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,FullSafe,FullSafe,0,1000000,1000000,completed_1m,0.3,-2051.7,472.9,0.6,350000,-1573.9,364.9,0.4,800000,-0.3,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.4 -> 400k:0.1 -> 500k:0.1 -> 600k:0.1 -> 700k:0 -> 800k:0.4 -> 900k:0.2 -> 1000k:0.3,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd000_20260528_220734/eval.csv,0.28,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__selective_state_stageB_1m__puzzle-4x4-play-singletask-task3-v0__A1_action_std_lam0p001__seed2__1000000,single4090,single4090-stageB,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task3_A1_action_std_lam0p001_seed2/sd002_20260618_113940/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task3_A1_action_std_lam0p001_seed2/sd002_20260618_113940/train.csv,,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,A1_action_std_lam0p001,A1,2,1000000,1000000,completed_1m,0.0,-2499.2,500,0.5,250000,,,0.3,500000,-0.5,,True,False,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task3-v0__R2_residual_disagree_lam0p001__seed0__1000000__sd000_20260619_122019,single4090-new,seetacloud-cqa1-31499,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/single4090_stageB_task3_R2_seed0_after_migration/exp/stageB_1m_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed0_after_migration/sd000_20260619_122019/eval.csv,/root/autodl-tmp/sb-value-flows-runs/single4090_stageB_task3_R2_seed0_after_migration/exp/stageB_1m_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed0_after_migration/sd000_20260619_122019/train.csv,,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,R2_residual_disagree_lam0p001,R2,0,1000000,1000000,completed_1m,0.0,-2375.3,500.0,0.5,300000,-1558.9,377.3,0.5,550000,-0.5,1:0 -> 100k:0 -> 200k:0.3 -> 300k:0.5 -> 400k:0.3 -> 500k:0.2 -> 600k:0 -> 700k:0.3 -> 800k:0 -> 900k:0 -> 1000k:0,True,False,False,,eval_csv,/root/autodl-tmp/sb-value-flows-runs/single4090_stageB_task3_R2_seed0_after_migration/exp/stageB_1m_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed0_after_migration/sd000_20260619_122019/eval.csv,0.3,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task4-v0__FullSafe__seed1__1000000__sd001_20260529_100238,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_100238/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_100238/train.csv,,puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,FullSafe,FullSafe,1,1000000,1000000,completed_1m,0.0,-2016.7,500.0,0.5,700000,-1530.4,373.3,0.5,700000,-0.5,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.2 -> 400k:0.3 -> 500k:0.4 -> 600k:0.2 -> 700k:0.5 -> 800k:0.1 -> 900k:0.1 -> 1000k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_100238/eval.csv,0.28,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task4-v0__P0_particle__seed2__300000__sd002_20260610_224514,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task4_P0_particle_seed2/sd002_20260610_224514/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task4_P0_particle_seed2/sd002_20260610_224514/train.csv,,puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,P0_particle,P0,2,300000,300000,completed_300k,0.1,-2064.0,485.0,0.5,200000,-2172.0,427.0,,,-0.4,1:0 -> 100k:0 -> 200k:0.5 -> 300k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task4_P0_particle_seed2/sd002_20260610_224514/eval.csv,0.28,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task4-v0__R3_residual_disagree_typicality_lam0p001__seed2__1000000__sd002_20260614_095700,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260614_095700/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260614_095700/train.csv,,puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,R3_residual_disagree_typicality_lam0p001,R3,2,1000000,1000000,completed_1m,0.1,-1852.0,473.4,0.5,850000,-1845.8,417.5,0.5,850000,-0.4,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.1 -> 400k:0.3 -> 500k:0 -> 600k:0.4 -> 700k:0.2 -> 800k:0 -> 900k:0.3 -> 1000k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260614_095700/eval.csv,0.28,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task1-v0__R2_residual_disagree_lam0p001__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R2_residual_disagree_lam0p001_seed2/sd002_20260615_224116/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R2_residual_disagree_lam0p001_seed2/sd002_20260615_224116/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_R2_residual_disagree_lam0p001_seed2/sd002_20260615_224116/command.txt,puzzle-4x4-play,task1,puzzle-4x4-play-singletask-task1-v0,R2_residual_disagree_lam0p001,R2,2,300000,300000,completed_300k,0.2,-2481.4,493.5,0.5,250000,,,,,-0.3,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.36,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task2-v0__MinimalSB_lam0p001__seed2__300000__sd002_20260610_162826,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p001_seed2/sd002_20260610_162826/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p001_seed2/sd002_20260610_162826/train.csv,,puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,MinimalSB_lam0p001,MinimalSB,2,300000,300000,completed_300k,0.2,-1495.5,454.2,0.5,250000,-1270.9,412.0,,,-0.3,1:0 -> 100k:0.1 -> 200k:0 -> 300k:0.2,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p001_seed2/sd002_20260610_162826/eval.csv,0.27,True,True,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task4-v0__FullSafe__seed1__300000__sd001_20260529_021519,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_021519/eval.csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_021519/train.csv,,puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,FullSafe,FullSafe,1,300000,700000,completed_300k,0.0,-2074.6,500.0,0.4,300000,-1654.6,384.7,0.3,600000,-0.4,1:0 -> 100k:0 -> 200k:0.1 -> 300k:0.4 -> 400k:0.1 -> 500k:0 -> 600k:0.3 -> 700k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/table3_pm_fullsafe_light_remaining_single4090/puzzle-4x4-play-singletask-task4-v0_pm_fullsafe_light_remaining_single4090/sd001_20260529_021519/eval.csv,0.28,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task2-v0__MinimalSB_lam0p0003__seed2__300000__sd002_20260610_151334,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p0003_seed2/sd002_20260610_151334/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p0003_seed2/sd002_20260610_151334/train.csv,,puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,MinimalSB_lam0p0003,MinimalSB,2,300000,300000,completed_300k,0.1,-1489.6,493.0,0.4,100000,-1626.8,432.8,,,-0.30000000000000004,1:0 -> 100k:0.4 -> 200k:0.2 -> 300k:0.1,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_MinimalSB_lam0p0003_seed2/sd002_20260610_151334/eval.csv,0.27,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__stageA_300k__puzzle-4x4-play-singletask-task3-v0__MinimalSB_lam0p003__seed2__300000,single4090,single4090-selective,/root/autodl-tmp/sb-value-flows-runs,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p003_seed2/sd002_20260616_022811/eval.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p003_seed2/sd002_20260616_022811/train.csv,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_MinimalSB_lam0p003_seed2/sd002_20260616_022811/command.txt,puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,MinimalSB_lam0p003,MinimalSB,2,300000,300000,completed_300k,0.1,-1790.8,467.8,0.4,250000,,,,,-0.30000000000000004,,True,True,,lightweight_source=results/experiment_runs.csv,lightweight_csv,results/experiment_runs.csv,0.3,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-3x3-play-singletask-task3-v0__MinimalSB_lam0p001__seed2__300000__sd002_20260608_123522,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_MinimalSB_lam0p001_seed2/sd002_20260608_123522/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_MinimalSB_lam0p001_seed2/sd002_20260608_123522/train.csv,,puzzle-3x3-play,task3,puzzle-3x3-play-singletask-task3-v0,MinimalSB_lam0p001,MinimalSB,2,300000,300000,completed_300k,0.0,-1258.9,500.0,0.3,150000,-1307.8,435.1,,,-0.3,1:0 -> 100k:0 -> 200k:0 -> 300k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_MinimalSB_lam0p001_seed2/sd002_20260608_123522/eval.csv,0.97,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
single4090__audit__puzzle-4x4-play-singletask-task2-v0__P0_particle__seed2__300000__sd002_20260610_135827,single4090-new,seetacloud-cqa1-31499,/root/sb-value-flows/exp,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_P0_particle_seed2/sd002_20260610_135827/eval.csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_P0_particle_seed2/sd002_20260610_135827/train.csv,,puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,P0_particle,P0,2,300000,300000,completed_300k,0.0,-1548.5,500.0,0.3,250000,-1403.1,451.4,,,-0.3,1:0 -> 100k:0.1 -> 200k:0 -> 300k:0,True,False,False,,eval_csv,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_P0_particle_seed2/sd002_20260610_135827/eval.csv,0.27,True,False,use state_stable_v1; lower actor lr after peak; actor anchor; SB weight cap/logit clip/uniform mix; save best checkpoint but do not call it final
