domain,task_id,env,VF_baseline,best_known_300k_final,best_known_300k_config,best_known_300k_seed,best_known_300k_eval_csv,best_known_1M_final,best_known_1M_config,best_known_1M_seed,best_known_1M_eval_csv,best_success,best_step,best_success_config,best_success_eval_csv,peak_after_500k,peak_after_500k_step,status,recommended_next_action,run_count,completed_300k_count,completed_1M_count
cube-double-play,task1,cube-double-play-singletask-task1-v0,0.97,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
cube-double-play,task2,cube-double-play-singletask-task2-v0,0.76,0.4,R3_residual_disagree_typicality_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260609_104958/eval.csv,0.9,R3_residual_disagree_typicality_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/eval.csv,0.9,1000000,R3_residual_disagree_typicality_lam0p001,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task2_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_203011/eval.csv,0.9,1000000,1M_completed,Locked: has useful completed 1M final; do not repeat ordinary tuning.,10,7,3
cube-double-play,task3,cube-double-play-singletask-task3-v0,0.73,0.5,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260609_165639/eval.csv,0.9,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,1.0,900000,A2_action_std_lam0p003,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task3_A2_action_std_lam0p003_seed2/sd002_20260612_173301/eval.csv,1.0,900000,1M_completed,Locked: has useful completed 1M final; do not repeat ordinary tuning.,10,7,3
cube-double-play,task4,cube-double-play-singletask-task4-v0,0.3,0.3,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260610_001658/eval.csv,0.5,A1_action_std_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.7,800000,A1_action_std_lam0p001,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_cube_double_task4_A1_action_std_lam0p001_seed2/sd002_20260613_053127/eval.csv,0.7,800000,1M_completed,Locked: has useful completed 1M final; do not repeat ordinary tuning.,10,7,3
cube-double-play,task5,cube-double-play-singletask-task5-v0,0.69,,,,,,,,,,,,,,,no_data,Priority 1: no final row; run 300k coverage with P0 and R2.,0,0,0
cube-triple-play,task1,cube-triple-play-singletask-task1-v0,0.59,,,,,,,,,,,,,,,no_data,Priority 1: no final row; run 300k coverage with P0 and R2.,0,0,0
cube-triple-play,task2,cube-triple-play-singletask-task2-v0,0.0,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,,,,,0.0,1,A1_action_std_lam0p001,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task2_A1_action_std_lam0p001_seed2/sd002_20260619_173909/eval.csv,,,300k_only,"300k final exists but is not a good-case; keep for coverage, lower priority.",4,4,0
cube-triple-play,task3,cube-triple-play-singletask-task3-v0,0.07,0.2,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,,,,,0.2,300000,R2_residual_disagree_lam0p001,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260620_113121/eval.csv,,,candidate,Priority 3: good 300k final; consider 1M good-case confirmation.,11,11,0
cube-triple-play,task4,cube-triple-play-singletask-task4-v0,0.0,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,,,,,0.0,1,A1_action_std_lam0p001,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task4_A1_action_std_lam0p001_seed2/sd002_20260619_224649/eval.csv,,,300k_only,"300k final exists but is not a good-case; keep for coverage, lower priority.",4,4,0
cube-triple-play,task5,cube-triple-play-singletask-task5-v0,0.02,0.0,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,,,,,0.0,1,A1_action_std_lam0p001,/root/autodl-tmp/sb-value-flows-runs/state_goodcase_harvest_single4090/exp/goodcase300k_cube_triple_task5_A1_action_std_lam0p001_seed2/sd002_20260620_050930/eval.csv,,,300k_only,"300k final exists but is not a good-case; keep for coverage, lower priority.",4,4,0
puzzle-3x3-play,task1,puzzle-3x3-play-singletask-task1-v0,0.99,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
puzzle-3x3-play,task2,puzzle-3x3-play-singletask-task2-v0,0.98,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
puzzle-3x3-play,task3,puzzle-3x3-play-singletask-task3-v0,0.97,0.2,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_P0_particle_seed2/sd002_20260608_100720/eval.csv,,,,,0.4,250000,P0_particle,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_3x3_task3_P0_particle_seed2/sd002_20260608_100720/eval.csv,,,300k_only,"300k final exists but is not a good-case; keep for coverage, lower priority.",7,7,0
puzzle-3x3-play,task4,puzzle-3x3-play-singletask-task4-v0,0.84,,,,,,,,,,,,,,,no_data,Priority 1: no final row; run 300k coverage with P0 and R2.,0,0,0
puzzle-3x3-play,task5,puzzle-3x3-play-singletask-task5-v0,0.58,0.4,A1_action_std_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A1_action_std_lam0p001_seed2/sd002_20260616_204333/eval.csv,,,,,0.4,300000,A1_action_std_lam0p001,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_3x3_task5_A1_action_std_lam0p001_seed2/sd002_20260616_204333/eval.csv,,,300k_only,"300k final exists but is not a good-case; keep for coverage, lower priority.",7,7,0
puzzle-4x4-play,task1,puzzle-4x4-play-singletask-task1-v0,0.36,0.5,A2_action_std_lam0p003,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260615_212615/eval.csv,0.3,A2_action_std_lam0p003,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260618_031757/eval.csv,0.7,300000,A2_action_std_lam0p003,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task1_A2_action_std_lam0p003_seed2/sd002_20260618_031757/eval.csv,0.5,700000,collapsed,"Completed 1M final is weak/collapsed; prefer state_stable_v1 diagnostic, no seed extension.",9,7,2
puzzle-4x4-play,task2,puzzle-4x4-play-singletask-task2-v0,0.27,0.2,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task2_A2_action_std_lam0p003_seed2/sd002_20260610_185833/eval.csv,0.5,MinimalSB_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed2/sd002_20260613_213740/eval.csv,0.6,950000,MinimalSB_lam0p001,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seedext_1m_puzzle_4x4_task2_MinimalSB_lam0p001_seed0/sd000_20260614_014306/eval.csv,0.6,950000,1M_completed,Locked: has useful completed 1M final; do not repeat ordinary tuning.,10,7,3
puzzle-4x4-play,task3,puzzle-4x4-play-singletask-task3-v0,0.3,0.5,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,0.4,R2_residual_disagree_lam0p001,2,/root/autodl-tmp/sb-value-flows-runs/selective_state_stageB_1m_single4090/exp/stageB_1m_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260618_072723/eval.csv,0.8,250000,R2_residual_disagree_lam0p001,/root/autodl-tmp/sb-value-flows-runs/selective_state_tuning_single4090/exp/stageA_300k_puzzle_4x4_task3_R2_residual_disagree_lam0p001_seed2/sd002_20260616_142426/eval.csv,0.7,850000,1M_completed,Locked: has useful completed 1M final; do not repeat ordinary tuning.,11,7,4
puzzle-4x4-play,task4,puzzle-4x4-play-singletask-task4-v0,0.28,0.5,R3_residual_disagree_typicality_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260611_061504/eval.csv,0.1,R3_residual_disagree_typicality_lam0p001,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260614_095700/eval.csv,0.5,850000,R3_residual_disagree_typicality_lam0p001,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task4_R3_residual_disagree_typicality_lam0p001_seed2/sd002_20260614_095700/eval.csv,0.5,850000,collapsed,"Completed 1M final is weak/collapsed; prefer state_stable_v1 diagnostic, no seed extension.",8,7,1
puzzle-4x4-play,task5,puzzle-4x4-play-singletask-task5-v0,0.13,0.1,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_puzzle_4x4_task5_A2_action_std_lam0p003_seed2/sd002_20260610_101149/eval.csv,0.0,A2_action_std_lam0p003,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task5_A2_action_std_lam0p003_seed2/sd002_20260613_173157/eval.csv,0.2,250000,A2_action_std_lam0p003,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_puzzle_4x4_task5_A2_action_std_lam0p003_seed2/sd002_20260613_173157/eval.csv,0.1,500000,1M_completed,Completed 1M exists; record final row and use curve diagnostics.,8,7,1
scene-play,task1,scene-play-singletask-task1-v0,0.99,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
scene-play,task2,scene-play-singletask-task2-v0,0.97,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
scene-play,task3,scene-play-singletask-task3-v0,0.94,,,,,,,,,,,,,,,no_data,Priority 4: high-baseline coverage only; run at most P0 and R2 300k.,0,0,0
scene-play,task4,scene-play-singletask-task4-v0,0.07,0.4,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageA_300k_scene_task4_P0_particle_seed2/sd002_20260608_184656/eval.csv,0.0,P0_particle,2,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/eval.csv,0.9,100000,P0_particle,/root/sb-value-flows/exp/bad_task_repair_single4090/stageB_seed2_1m_scene_task4_P0_particle_seed2/sd002_20260611_162414/eval.csv,0.1,550000,collapsed,"Completed 1M final is weak/collapsed; prefer state_stable_v1 diagnostic, no seed extension.",12,11,1
scene-play,task5,scene-play-singletask-task5-v0,0.0,,,,,,,,,,,,,,,no_data,Priority 1: no final row; run 300k coverage with P0 and R2.,0,0,0
